,,,,,,,,,,,,,,,,,,,,,873,855,837,812,785,708,594,534,441
Modus:,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m/z:,873,,855,,837,,812,,785,,708,,594,,534,,441,,,,,,,,,,,,
Energie,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,RT,,873,855,837,812,785,708,594,534,441
,Standard Error,17848.0322529433,3.23800468734422,15644.65579509,6.46734453356163,585.73553669499,0.978085428407538,1307.68493283078,4.82788133084657,1824.17063559393,2.05403050187469,1382.40263476502,4.20155461673039,2271.50319878825,6.77266573110346,1821.99583521825,6.11012322211866,1057.41922921601,1.67473996017607,,,,,,,,,,
,Mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,Median,0,0,1483,2.045,143,0.29,6399.5,17.98,3456,10.37,7776.5,29.98,10550,34.545,10616,48.065,0,0,,,,,,,,,,
,First Quartile ,0,0,0,0,0,0,1592.5,6.6375,564.25,4.195,5036.25,18.9,6076.25,23.9375,6504.75,22.735,0,0,,,,,,,,,,
,Third Quartile,0,0,4816.75,12.8125,1688.25,3.785,11881.5,27.7875,4995.25,14.93,13330.5,39.5975,17553,58.04,19530.75,59.52,3110.25,5.9425,,,,,,,,,,
,Variance,6371045106.0421,209.693487105263,4895105098.93684,836.53090631579,6861722.37894737,19.1330221052632,34200797.6710526,466.168762894737,66551970.1552632,84.3808260526316,38220740.8921052,353.061223947368,103194535.642105,917.380022105263,66393376.4710526,746.672115789474,22362708.5263158,56.0950786842106,,,,,,,,,,
,Standard Deviation,79818.82676438,14.4807971847293,69965.0276848144,28.9228440219109,2619.48895377464,4.37413101144252,5848.14480592372,21.5909416861502,8157.93908749405,9.18590366009962,6182.29252721879,18.7899234683744,10158.4711271975,30.2882819272613,8148.213084539,27.3253017511147,4728.92255448488,7.48966479117794,,,,,,,,,,
,Kurtosis,4.36308037916296,4.50351640915689,18.6241786697715,6.02633956287036,8.29541016299677,2.6155788417908,-1.31399235520297,4.81948045385397,10.345526187092,-0.707722347292795,-0.985582867647671,0.529821736969778,-0.090638093955705,-0.631343489567756,-1.29710480797166,-0.750201311556271,4.16170134560806,2.82781456911728,,,,,,,,,,
,Skewness,2.35597345153565,2.33857938984621,4.27271385473246,2.62422614825092,2.70541142644279,1.75354449013777,0.325829194291954,1.84720958232584,2.99034313184112,0.556393676327526,0.208622857090002,0.3404680894788,0.807985305161557,0.313050265945437,0.003653225824491,-0.176677158057713,2.18611730203706,1.84042978468562,,,,,,,,,,
,Range,258646,46.8,313206,100,10783,15.31,16775,91,35740,27.19,20380,75.57,33186,100,25185,93.72,15674,25.64,,,,,,,,,,
,Minimum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,Maximum,258646,46.8,313206,100,10783,15.31,16775,91,35740,27.19,20380,75.57,33186,100,25185,93.72,15674,25.64,,,,,,,,,,
,Sum,662252,125.67,408502,282.54,30084,58.74,138995,427.81,109989,215.91,184701,602.83,256584,829.94,240881,827.2,54540,96.51,,,,,,,,,,
,Count,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,
