,,,,,,,,,,,831,813,798,787
Modus:,CID,,,,,,,,,,,,,
m/z:,831.3,,813.27,,798.4,,787.2,,,,,,,
Energie,Intensität,Relative,Intensität,Relative,Intensität,Relative,Intensität,Relative,RT,,831,813,798,787
0,151859,39.66,4056,1.06,0,0,0,0,24.64,,75.9994194659086,2.02986747807983,0,0
5,199816,45.68,0,0,0,0,4276,0.98,24.67,,100,0,0,2.13996877126957
10,149111,100,116781,78.32,16421,11.01,22644,15.19,24.81,,74.6241542218841,58.4442687272291,8.21806061576651,11.3324258317652
15,45614,100,22716,49.8,7536,16.52,6174,13.54,24.94,,22.8280017616207,11.3684589822637,3.771469752172,3.08984265524282
20,9314,43.73,16469,77.33,11114,52.18,21298,100,25.52,,4.66128838531449,8.24208271609881,5.56211714777595,10.6588061016135
25,0,0,6354,25.33,25080,100,20582,82.07,25.65,,0,3.17992553148897,12.5515474236297,10.3004764383233
30,0,0,4160,16.94,24555,100,4569,18.61,25.76,,0,2.08191536213316,12.2888057012451,2.28660367538135
35,0,0,1681,5.6,2491,8.3,30027,100,25.87,,0,0.84127397205429,1.24664691516195,15.027325139128
40,0,0,6328,54.72,10183,88.05,4865,42.07,25.95,,0,3.16691356047564,5.09618849341394,2.4347399607639
45,0,0,7375,31.36,15008,63.81,23519,100,26.11,,0,3.69089562397406,7.51091003723426,11.7703287024062
50,0,0,0,0,2977,17.78,14765,88.16,26.35,,0,0,1.48987068102654,7.38929815430196
55,0,0,6241,36.4,1719,10.03,5504,32.1,26.94,,0,3.12337350362333,0.860291468150698,2.75453417143772
60,0,0,1509,9.02,129,0.77,0,0,27.02,,0,0.755194779196861,0.064559394643072,0
65,0,0,2174,13.89,0,0,2586,16.53,27.23,,0,1.08800096088401,0,1.29419065540297
70,0,0,0,0,0,0,8723,71.28,27.29,,0,0,0,4.36551627497298
75,0,0,0,0,0,0,0,0,27.5,,0,0,0,0
80,0,0,0,0,0,0,3281,24.43,27.61,,0,0,0,1.64201064979781
85,0,0,0,0,0,0,9317,100,27.77,,0,0,0,4.66278976658526
90,0,0,0,0,0,0,2697,21.46,27.88,,0,0,0,1.34974176242143
95,0,0,0,0,0,0,0,0,28.02,,0,0,0,0
100,0,0,0,0,0,0,0,0,28.05,,0,0,0,0
,,,,,,,,,,,,,,
,,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,,,,,
,Mean,26462.5714285714,15.67,9325.90476190476,19.0366666666667,5581.57142857143,22.3071428571429,8801.28571428571,39.3533333333333,,,,,
,Standard Error,13155.068390543,6.97194445788329,5523.96673074736,5.674030159769,1809.14080576998,7.7117462398621,2044.09263971276,8.72303732416239,,,,,
,Mode,0,0,0,0,0,0,0,0,,,,,
,Median,0,0,1681,5.6,129,0.77,4865,21.46,,,,,
,First Quartile ,0,0,0,0,0,0,2586,0.98,,,,,
,Third Quartile,0,0,6328,31.36,10183,17.78,14765,82.07,,,,,
,Variance,3634172311.55714,1020.7682,640798377.290477,676.086983333334,68732799.5571428,1248.89163142857,87744609.1142857,1597.91898333333,,,,,
,Standard Deviation,60284.0966719843,31.9494632192781,25313.9956800675,26.0016727026038,8290.52468527432,35.3396608844591,9367.20924898583,39.9739788278992,,,,,
,Kurtosis,3.57275136976927,3.2247692545158,18.4406668352483,0.608228003456202,0.897500529245174,0.738797659797157,-0.293582259261084,-1.4001716984442,,,,,
,Skewness,2.20255855705751,2.03476653184495,4.20590381802576,1.31048475402286,1.41815696005763,1.49367774518376,1.00008523915424,0.602349476441407,,,,,
,Range,199816,100,116781,78.32,25080,100,30027,100,,,,,
,Minimum,0,0,0,0,0,0,0,0,,,,,
,Maximum,199816,100,116781,78.32,25080,100,30027,100,,,,,
,Sum,555714,329.07,195844,399.77,117213,468.45,184827,826.42,,,,,
,Count,21,21,21,21,21,21,21,21,,,,,
